Y_pestis_Yp4003	Y_pestis_CO92	Similarity_Y_pestis_Yp4003.to.Y_pestis_CO92	Similarity_Y_pestis_CO92.to.Y_pestis_Yp4003
Yp4003_02996	gnl|YPES214092|GKDD-2253-MONOMER	100.0	100.0
Yp4003_02997	gnl|YPES214092|GKDD-2254-MONOMER	100.0	100.0
Yp4003_02998	gnl|YPES214092|GKDD-2255-MONOMER	100.0	100.0
Yp4003_02999	gnl|YPES214092|GKDD-2256-MONOMER	100.0	100.0
Yp4003_03000	gnl|YPES214092|GKDD-2257-MONOMER	100.0	100.0
Yp4003_03001	gnl|YPES214092|GKDD-2258-MONOMER	100.0	100.0
Yp4003_03002	gnl|YPES214092|GKDD-2259-MONOMER	100.0	100.0
Yp4003_03003	gnl|YPES214092|GKDD-2260-MONOMER	100.0	100.0
Yp4003_03005	gnl|YPES214092|GKDD-2261-MONOMER	100.0	100.0
Yp4003_02910	gnl|YPES214092|GKDD-364-MONOMER	100.0	100.0
Yp4003_02908	gnl|YPES214092|GKDD-362-MONOMER	100.0	100.0
Yp4003_03043	gnl|YPES214092|GKDD-169-MONOMER	100.0	100.0
Yp4003_02830	gnl|YPES214092|GKDD-1979-MONOMER	100.0	100.0
Yp4003_02812	gnl|YPES214092|GKDD-2369-MONOMER	100.0	100.0
Yp4003_02813	gnl|YPES214092|GKDD-2368-MONOMER	100.0	100.0
Yp4003_02814	gnl|YPES214092|GKDD-2367-MONOMER	100.0	100.0
Yp4003_02815	gnl|YPES214092|GKDD-2366-MONOMER	100.0	100.0
Yp4003_02816	gnl|YPES214092|GKDD-2365-MONOMER	100.0	100.0
Yp4003_02817	gnl|YPES214092|GKDD-2364-MONOMER	100.0	100.0
Yp4003_02818	gnl|YPES214092|GKDD-2363-MONOMER	100.0	100.0
Yp4003_02819	gnl|YPES214092|GKDD-2361-MONOMER	100.0	100.0
Yp4003_02820	gnl|YPES214092|GKDD-2360-MONOMER	100.0	100.0
Yp4003_02821	gnl|YPES214092|GKDD-2359-MONOMER	100.0	100.0
Yp4003_02822	gnl|YPES214092|GKDD-2358-MONOMER	100.0	100.0
Yp4003_02829	gnl|YPES214092|GKDD-1980-MONOMER	100.0	100.0
Yp4003_02831	gnl|YPES214092|GKDD-1978-MONOMER	100.0	100.0
Yp4003_02810	gnl|YPES214092|GKDD-2371-MONOMER	100.0	100.0
Yp4003_02832	gnl|YPES214092|GKDD-1977-MONOMER	100.0	100.0
Yp4003_02833	gnl|YPES214092|GKDD-1976-MONOMER	100.0	100.0
Yp4003_02834	gnl|YPES214092|GKDD-1975-MONOMER	100.0	100.0
Yp4003_02835	gnl|YPES214092|GKDD-1974-MONOMER	100.0	100.0
Yp4003_02836	gnl|YPES214092|GKDD-1973-MONOMER	100.0	100.0
Yp4003_02837	gnl|YPES214092|GKDD-1972-MONOMER	100.0	100.0
Yp4003_02838	gnl|YPES214092|GKDD-1971-MONOMER	100.0	100.0
Yp4003_02839	gnl|YPES214092|GKDD-1970-MONOMER	100.0	100.0
Yp4003_02840	gnl|YPES214092|GKDD-1969-MONOMER	100.0	100.0
Yp4003_02841	gnl|YPES214092|GKDD-1968-MONOMER	100.0	100.0
Yp4003_02842	gnl|YPES214092|GKDD-1967-MONOMER	100.0	100.0
Yp4003_02843	gnl|YPES214092|GKDD-1966-MONOMER	100.0	100.0
Yp4003_02811	gnl|YPES214092|GKDD-2370-MONOMER	100.0	100.0
Yp4003_02809	gnl|YPES214092|GKDD-2372-MONOMER	100.0	100.0
Yp4003_02907	gnl|YPES214092|GKDD-361-MONOMER	100.0	100.0
Yp4003_02793	gnl|YPES214092|GKDD-3485-MONOMER	100.0	100.0
Yp4003_02780	gnl|YPES214092|GKDD-3473-MONOMER	100.0	100.0
Yp4003_02781	gnl|YPES214092|GKDD-3474-MONOMER	100.0	100.0
Yp4003_02783	gnl|YPES214092|GKDD-3475-MONOMER	100.0	100.0
Yp4003_02784	gnl|YPES214092|GKDD-3476-MONOMER	100.0	100.0
Yp4003_02785	gnl|YPES214092|GKDD-3477-MONOMER	100.0	100.0
Yp4003_02786	gnl|YPES214092|GKDD-3478-MONOMER	100.0	100.0
Yp4003_02787	gnl|YPES214092|GKDD-3479-MONOMER	100.0	100.0
Yp4003_02788	gnl|YPES214092|GKDD-3480-MONOMER	100.0	100.0
Yp4003_02789	gnl|YPES214092|GKDD-3481-MONOMER	100.0	100.0
Yp4003_02790	gnl|YPES214092|GKDD-3482-MONOMER	100.0	100.0
Yp4003_02791	gnl|YPES214092|GKDD-3483-MONOMER	100.0	100.0
Yp4003_02792	gnl|YPES214092|GKDD-3484-MONOMER	100.0	100.0
Yp4003_02794	gnl|YPES214092|GKDD-3486-MONOMER	100.0	100.0
Yp4003_02808	gnl|YPES214092|GKDD-2373-MONOMER	100.0	100.0
Yp4003_02795	gnl|YPES214092|GKDD-3487-MONOMER	100.0	100.0
Yp4003_02796	gnl|YPES214092|GKDD-3488-MONOMER	100.0	100.0
Yp4003_02797	gnl|YPES214092|GKDD-3489-MONOMER	100.0	100.0
Yp4003_02799	gnl|YPES214092|GKDD-2382-MONOMER	100.0	100.0
Yp4003_02800	gnl|YPES214092|GKDD-2381-MONOMER	100.0	100.0
Yp4003_02801	gnl|YPES214092|GKDD-2380-MONOMER	100.0	100.0
Yp4003_02802	gnl|YPES214092|GKDD-2379-MONOMER	100.0	100.0
Yp4003_02803	gnl|YPES214092|GKDD-2378-MONOMER	100.0	100.0
Yp4003_02804	gnl|YPES214092|GKDD-2377-MONOMER	100.0	100.0
Yp4003_02805	gnl|YPES214092|GKDD-2376-MONOMER	100.0	100.0
Yp4003_02806	gnl|YPES214092|GKDD-2375-MONOMER	100.0	100.0
Yp4003_02807	gnl|YPES214092|GKDD-2374-MONOMER	100.0	100.0
Yp4003_02844	gnl|YPES214092|GKDD-1965-MONOMER	100.0	100.0
Yp4003_02845	gnl|YPES214092|GKDD-1964-MONOMER	100.0	100.0
Yp4003_02847	gnl|YPES214092|GKDD-1963-MONOMER	100.0	100.0
Yp4003_02892	gnl|YPES214092|GKDD-346-MONOMER	100.0	100.0
Yp4003_02880	gnl|YPES214092|GKDD-590-MONOMER	100.0	100.0
Yp4003_02881	gnl|YPES214092|GKDD-591-MONOMER	100.0	100.0
Yp4003_02882	gnl|YPES214092|GKDD-592-MONOMER	100.0	100.0
Yp4003_02883	gnl|YPES214092|GKDD-593-MONOMER	100.0	100.0
Yp4003_02884	gnl|YPES214092|GKDD-595-MONOMER	100.0	100.0
Yp4003_02885	gnl|YPES214092|GKDD-596-MONOMER	100.0	100.0
Yp4003_02886	gnl|YPES214092|GKDD-597-MONOMER	100.0	100.0
Yp4003_02887	gnl|YPES214092|GKDD-598-MONOMER	100.0	100.0
Yp4003_02888	gnl|YPES214092|GKDD-599-MONOMER	100.0	100.0
Yp4003_02889	gnl|YPES214092|GKDD-600-MONOMER	100.0	100.0
Yp4003_02890	gnl|YPES214092|GKDD-601-MONOMER	100.0	100.0
Yp4003_02891	gnl|YPES214092|GKDD-345-MONOMER	100.0	100.0
Yp4003_02893	gnl|YPES214092|GKDD-347-MONOMER	100.0	100.0
Yp4003_02848	gnl|YPES214092|GKDD-1962-MONOMER	100.0	100.0
Yp4003_02894	gnl|YPES214092|GKDD-348-MONOMER	100.0	100.0
Yp4003_02895	gnl|YPES214092|GKDD-349-MONOMER	100.0	100.0
Yp4003_02896	gnl|YPES214092|GKDD-350-MONOMER	100.0	100.0
Yp4003_02897	gnl|YPES214092|GKDD-351-MONOMER	100.0	100.0
Yp4003_02898	gnl|YPES214092|GKDD-352-MONOMER	100.0	100.0
Yp4003_02899	gnl|YPES214092|GKDD-353-MONOMER	100.0	100.0
Yp4003_02901	gnl|YPES214092|GKDD-355-MONOMER	100.0	100.0
Yp4003_02902	gnl|YPES214092|GKDD-356-MONOMER	100.0	100.0
Yp4003_02903	gnl|YPES214092|GKDD-357-MONOMER	100.0	100.0
Yp4003_02904	gnl|YPES214092|GKDD-358-MONOMER	100.0	100.0
Yp4003_02905	gnl|YPES214092|GKDD-359-MONOMER	100.0	100.0
Yp4003_02906	gnl|YPES214092|GKDD-360-MONOMER	100.0	100.0
Yp4003_02879	gnl|YPES214092|GKDD-589-MONOMER	100.0	100.0
Yp4003_02878	gnl|YPES214092|GKDD-588-MONOMER	100.0	100.0
Yp4003_02877	gnl|YPES214092|GKDD-587-MONOMER	100.0	100.0
Yp4003_02876	gnl|YPES214092|GKDD-586-MONOMER	100.0	100.0
Yp4003_02849	gnl|YPES214092|GKDD-1961-MONOMER	100.0	100.0
Yp4003_02850	gnl|YPES214092|GKDD-1960-MONOMER	100.0	100.0
Yp4003_02851	gnl|YPES214092|GKDD-1959-MONOMER	100.0	100.0
Yp4003_02852	gnl|YPES214092|GKDD-1958-MONOMER	100.0	100.0
Yp4003_02853	gnl|YPES214092|GKDD-1957-MONOMER	100.0	100.0
Yp4003_02854	gnl|YPES214092|GKDD-1956-MONOMER	100.0	100.0
Yp4003_02855	gnl|YPES214092|GKDD-1955-MONOMER	100.0	100.0
Yp4003_02856	gnl|YPES214092|GKDD-1954-MONOMER	100.0	100.0
Yp4003_02857	gnl|YPES214092|GKDD-1953-MONOMER	100.0	100.0
Yp4003_02858	gnl|YPES214092|GKDD-1952-MONOMER	100.0	100.0
Yp4003_02859	gnl|YPES214092|GKDD-1951-MONOMER	100.0	100.0
Yp4003_02860	gnl|YPES214092|GKDD-1950-MONOMER	100.0	100.0
Yp4003_02862	gnl|YPES214092|GKDD-572-MONOMER	100.0	100.0
Yp4003_02864	gnl|YPES214092|GKDD-573-MONOMER	100.0	100.0
Yp4003_02865	gnl|YPES214092|GKDD-574-MONOMER	100.0	100.0
Yp4003_02866	gnl|YPES214092|GKDD-575-MONOMER	100.0	100.0
Yp4003_02867	gnl|YPES214092|GKDD-576-MONOMER	100.0	100.0
Yp4003_02868	gnl|YPES214092|GKDD-578-MONOMER	100.0	100.0
Yp4003_02869	gnl|YPES214092|GKDD-579-MONOMER	100.0	100.0
Yp4003_02870	gnl|YPES214092|GKDD-580-MONOMER	100.0	100.0
Yp4003_02871	gnl|YPES214092|GKDD-581-MONOMER	100.0	100.0
Yp4003_02872	gnl|YPES214092|GKDD-582-MONOMER	100.0	100.0
Yp4003_02873	gnl|YPES214092|GKDD-583-MONOMER	100.0	100.0
Yp4003_02874	gnl|YPES214092|GKDD-584-MONOMER	100.0	100.0
Yp4003_02875	gnl|YPES214092|GKDD-585-MONOMER	100.0	100.0
Yp4003_03041	gnl|YPES214092|GKDD-166-MONOMER	100.0	100.0
Yp4003_03044	gnl|YPES214092|GKDD-170-MONOMER	100.0	100.0
Yp4003_02778	gnl|YPES214092|GKDD-3471-MONOMER	100.0	100.0
Yp4003_03220	gnl|YPES214092|GKDD-664-MONOMER	100.0	100.0
Yp4003_03208	gnl|YPES214092|GKDD-3376-MONOMER	100.0	100.0
Yp4003_03209	gnl|YPES214092|GKDD-3375-MONOMER	100.0	100.0
Yp4003_03210	gnl|YPES214092|GKDD-3374-MONOMER	100.0	100.0
Yp4003_03211	gnl|YPES214092|GKDD-3373-MONOMER	100.0	100.0
Yp4003_03212	gnl|YPES214092|GKDD-3372-MONOMER	100.0	100.0
Yp4003_03213	gnl|YPES214092|GKDD-3371-MONOMER	100.0	100.0
Yp4003_03214	gnl|YPES214092|GKDD-3370-MONOMER	100.0	100.0
Yp4003_03215	gnl|YPES214092|GKDD-3369-MONOMER	100.0	100.0
Yp4003_03216	gnl|YPES214092|GKDD-3367-MONOMER	100.0	100.0
Yp4003_03217	gnl|YPES214092|GKDD-3366-MONOMER	100.0	100.0
Yp4003_03218	gnl|YPES214092|GKDD-3365-MONOMER	100.0	100.0
Yp4003_03219	gnl|YPES214092|GKDD-663-MONOMER	100.0	100.0
Yp4003_03221	gnl|YPES214092|GKDD-665-MONOMER	100.0	100.0
Yp4003_03206	gnl|YPES214092|GKDD-3378-MONOMER	100.0	100.0
Yp4003_03222	gnl|YPES214092|GKDD-666-MONOMER	100.0	100.0
Yp4003_03223	gnl|YPES214092|GKDD-667-MONOMER	100.0	100.0
Yp4003_03224	gnl|YPES214092|GKDD-668-MONOMER	100.0	100.0
Yp4003_03227	gnl|YPES214092|GKDD-669-MONOMER	100.0	100.0
Yp4003_03228	gnl|YPES214092|GKDD-670-MONOMER	100.0	100.0
Yp4003_03229	gnl|YPES214092|GKDD-671-MONOMER	100.0	100.0
Yp4003_03230	gnl|YPES214092|GKDD-672-MONOMER	100.0	100.0
Yp4003_03231	gnl|YPES214092|GKDD-673-MONOMER	100.0	100.0
Yp4003_03232	gnl|YPES214092|GKDD-674-MONOMER	100.0	100.0
Yp4003_03233	gnl|YPES214092|GKDD-675-MONOMER	100.0	100.0
Yp4003_03234	gnl|YPES214092|GKDD-676-MONOMER	100.0	100.0
Yp4003_03235	gnl|YPES214092|GKDD-677-MONOMER	100.0	100.0
Yp4003_03207	gnl|YPES214092|GKDD-3377-MONOMER	100.0	100.0
Yp4003_03205	gnl|YPES214092|GKDD-3379-MONOMER	100.0	100.0
Yp4003_03173	gnl|YPES214092|GKDD-3217-MONOMER	100.0	100.0
Yp4003_03188	gnl|YPES214092|GKDD-3749-MONOMER	100.0	100.0
Yp4003_03175	gnl|YPES214092|GKDD-3761-MONOMER	100.0	100.0
Yp4003_03176	gnl|YPES214092|GKDD-3760-MONOMER	100.0	100.0
Yp4003_03177	gnl|YPES214092|GKDD-3759-MONOMER	100.0	100.0
Yp4003_03178	gnl|YPES214092|GKDD-3758-MONOMER	100.0	100.0
Yp4003_03179	gnl|YPES214092|GKDD-3757-MONOMER	100.0	100.0
Yp4003_03181	gnl|YPES214092|GKDD-3756-MONOMER	100.0	100.0
Yp4003_03182	gnl|YPES214092|GKDD-3755-MONOMER	100.0	100.0
Yp4003_03183	gnl|YPES214092|GKDD-3754-MONOMER	100.0	100.0
Yp4003_03184	gnl|YPES214092|GKDD-3753-MONOMER	100.0	100.0
Yp4003_03185	gnl|YPES214092|GKDD-3752-MONOMER	100.0	100.0
Yp4003_03186	gnl|YPES214092|GKDD-3751-MONOMER	100.0	100.0
Yp4003_03187	gnl|YPES214092|GKDD-3750-MONOMER	100.0	100.0
Yp4003_03189	gnl|YPES214092|GKDD-3748-MONOMER	100.0	100.0
Yp4003_03204	gnl|YPES214092|GKDD-3380-MONOMER	100.0	100.0
Yp4003_03191	gnl|YPES214092|GKDD-3747-MONOMER	100.0	100.0
Yp4003_03192	gnl|YPES214092|GKDD-3746-MONOMER	100.0	100.0
Yp4003_03193	gnl|YPES214092|GKDD-3745-MONOMER	100.0	100.0
Yp4003_03194	gnl|YPES214092|GKDD-3744-MONOMER	100.0	100.0
Yp4003_03195	gnl|YPES214092|GKDD-3743-MONOMER	100.0	100.0
Yp4003_03196	gnl|YPES214092|GKDD-3387-MONOMER	100.0	100.0
Yp4003_03197	gnl|YPES214092|GKDD-3386-MONOMER	100.0	100.0
Yp4003_03199	gnl|YPES214092|GKDD-3385-MONOMER	100.0	100.0
Yp4003_03200	gnl|YPES214092|GKDD-3384-MONOMER	100.0	100.0
Yp4003_03201	gnl|YPES214092|GKDD-3383-MONOMER	100.0	100.0
Yp4003_03202	gnl|YPES214092|GKDD-3382-MONOMER	100.0	100.0
Yp4003_03203	gnl|YPES214092|GKDD-3381-MONOMER	100.0	100.0
Yp4003_03236	gnl|YPES214092|GKDD-678-MONOMER	100.0	100.0
Yp4003_03237	gnl|YPES214092|GKDD-679-MONOMER	100.0	100.0
Yp4003_03238	gnl|YPES214092|GKDD-680-MONOMER	100.0	100.0
Yp4003_03291	gnl|YPES214092|GKDD-1421-MONOMER	100.0	100.0
Yp4003_03279	gnl|YPES214092|GKDD-1409-MONOMER	100.0	100.0
Yp4003_03280	gnl|YPES214092|GKDD-1410-MONOMER	100.0	100.0
Yp4003_03281	gnl|YPES214092|GKDD-1411-MONOMER	100.0	100.0
Yp4003_03282	gnl|YPES214092|GKDD-1412-MONOMER	100.0	100.0
Yp4003_03283	gnl|YPES214092|GKDD-1413-MONOMER	100.0	100.0
Yp4003_03284	gnl|YPES214092|GKDD-1414-MONOMER	100.0	100.0
Yp4003_03285	gnl|YPES214092|GKDD-1415-MONOMER	100.0	100.0
Yp4003_03286	gnl|YPES214092|GKDD-1416-MONOMER	100.0	100.0
Yp4003_03287	gnl|YPES214092|GKDD-1417-MONOMER	100.0	100.0
Yp4003_03288	gnl|YPES214092|GKDD-1418-MONOMER	100.0	100.0
Yp4003_03289	gnl|YPES214092|GKDD-1419-MONOMER	100.0	100.0
Yp4003_03290	gnl|YPES214092|GKDD-1420-MONOMER	100.0	100.0
Yp4003_03292	gnl|YPES214092|GKDD-518-MONOMER	100.0	100.0
Yp4003_03239	gnl|YPES214092|GKDD-681-MONOMER	100.0	100.0
Yp4003_03293	gnl|YPES214092|GKDD-519-MONOMER	100.0	100.0
Yp4003_03294	gnl|YPES214092|GKDD-520-MONOMER	100.0	100.0
Yp4003_03295	gnl|YPES214092|GKDD-521-MONOMER	100.0	100.0
Yp4003_03296	gnl|YPES214092|GKDD-522-MONOMER	100.0	100.0
Yp4003_03297	gnl|YPES214092|GKDD-523-MONOMER	100.0	100.0
Yp4003_03298	gnl|YPES214092|GKDD-524-MONOMER	100.0	100.0
Yp4003_03299	gnl|YPES214092|GKDD-525-MONOMER	100.0	100.0
Yp4003_03300	gnl|YPES214092|GKDD-526-MONOMER	100.0	100.0
Yp4003_03301	gnl|YPES214092|GKDD-527-MONOMER	100.0	100.0
Yp4003_03302	gnl|YPES214092|GKDD-528-MONOMER	100.0	100.0
Yp4003_03303	gnl|YPES214092|GKDD-529-MONOMER	100.0	100.0
Yp4003_03304	gnl|YPES214092|GKDD-530-MONOMER	100.0	100.0
Yp4003_03276	gnl|YPES214092|GKDD-1407-MONOMER	100.0	100.0
Yp4003_03275	gnl|YPES214092|GKDD-1406-MONOMER	100.0	100.0
Yp4003_03274	gnl|YPES214092|GKDD-1405-MONOMER	100.0	100.0
Yp4003_03272	gnl|YPES214092|GKDD-3708-MONOMER	100.0	100.0
Yp4003_03240	gnl|YPES214092|GKDD-682-MONOMER	100.0	100.0
Yp4003_03241	gnl|YPES214092|GKDD-683-MONOMER	100.0	100.0
Yp4003_03242	gnl|YPES214092|GKDD-684-MONOMER	100.0	100.0
Yp4003_03243	gnl|YPES214092|GKDD-685-MONOMER	100.0	100.0
Yp4003_03244	gnl|YPES214092|GKDD-686-MONOMER	100.0	100.0
Yp4003_03245	gnl|YPES214092|GKDD-687-MONOMER	100.0	100.0
Yp4003_03246	gnl|YPES214092|GKDD-688-MONOMER	100.0	100.0
Yp4003_03252	gnl|YPES214092|GKDD-3689-MONOMER	100.0	100.0
Yp4003_03253	gnl|YPES214092|GKDD-3690-MONOMER	100.0	100.0
