Y_pestis_CO92	Y_pestis_Yp4003	Similarity_Y_pestis_CO92.to.Y_pestis_Yp4003
gnl|YPES214092|GKDD-1232-MONOMER	Yp4003_00659	100.00
gnl|YPES214092|GKDD-1234-MONOMER	Yp4003_00661	100.00
gnl|YPES214092|GKDD-1235-MONOMER	Yp4003_00662	100.00
gnl|YPES214092|GKDD-1239-MONOMER	Yp4003_00666	100.00
gnl|YPES214092|GKDD-1246-MONOMER	Yp4003_00674	100.00
gnl|YPES214092|GKDD-1248-MONOMER	Yp4003_00676	100.00
gnl|YPES214092|GKDD-1252-MONOMER	Yp4003_00680	100.00
gnl|YPES214092|GKDD-1262-MONOMER	Yp4003_03754	100.00
gnl|YPES214092|GKDD-1264-MONOMER	Yp4003_03753	100.00
gnl|YPES214092|GKDD-1266-MONOMER	Yp4003_03751	100.00
gnl|YPES214092|GKDD-1270-MONOMER	Yp4003_03747	100.00
gnl|YPES214092|GKDD-1272-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-1273-MONOMER	Yp4003_02947	100.00
gnl|YPES214092|GKDD-1278-MONOMER	Yp4003_02940	100.00
gnl|YPES214092|GKDD-128-MONOMER	Yp4003_01077	100.00
gnl|YPES214092|GKDD-1280-MONOMER	Yp4003_02938	100.00
gnl|YPES214092|GKDD-1281-MONOMER	Yp4003_02937	100.00
gnl|YPES214092|GKDD-1282-MONOMER	Yp4003_02936	100.00
gnl|YPES214092|GKDD-1284-MONOMER	Yp4003_02934	100.00
gnl|YPES214092|GKDD-1294-MONOMER	Yp4003_02924	100.00
gnl|YPES214092|GKDD-1297-MONOMER	Yp4003_02921	100.00
gnl|YPES214092|GKDD-1301-MONOMER	Yp4003_01348	100.00
gnl|YPES214092|GKDD-1303-MONOMER	Yp4003_01346	100.00
gnl|YPES214092|GKDD-1304-MONOMER	Yp4003_01345	100.00
gnl|YPES214092|GKDD-1308-MONOMER	Yp4003_01341	100.00
gnl|YPES214092|GKDD-1310-MONOMER	Yp4003_01338	100.00
gnl|YPES214092|GKDD-1314-MONOMER	Yp4003_01334	100.00
gnl|YPES214092|GKDD-1318-MONOMER	Yp4003_01330	100.00
gnl|YPES214092|GKDD-1319-MONOMER	Yp4003_01329	100.00
gnl|YPES214092|GKDD-1320-MONOMER	Yp4003_01328	100.00
gnl|YPES214092|GKDD-1328-MONOMER	Yp4003_01319	100.00
gnl|YPES214092|GKDD-133-MONOMER	Yp4003_01072	100.00
gnl|YPES214092|GKDD-1332-MONOMER	Yp4003_01315	100.00
gnl|YPES214092|GKDD-1337-MONOMER	Yp4003_04154	100.00
gnl|YPES214092|GKDD-1344-MONOMER	Yp4003_03379	100.00
gnl|YPES214092|GKDD-1345-MONOMER	Yp4003_03380	100.00
gnl|YPES214092|GKDD-135-MONOMER	Yp4003_01070	100.00
gnl|YPES214092|GKDD-1357-MONOMER	Yp4003_04392	100.00
gnl|YPES214092|GKDD-1358-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-1359-MONOMER	Yp4003_03989	61.22
gnl|YPES214092|GKDD-1360-MONOMER	Yp4003_04344	100.00
gnl|YPES214092|GKDD-137-MONOMER	Yp4003_01068	100.00
gnl|YPES214092|GKDD-1372-MONOMER	Yp4003_03120	100.00
gnl|YPES214092|GKDD-1373-MONOMER	Yp4003_03119	100.00
gnl|YPES214092|GKDD-1374-MONOMER	Yp4003_03118	100.00
gnl|YPES214092|GKDD-1375-MONOMER	Yp4003_03117	100.00
gnl|YPES214092|GKDD-138-MONOMER	Yp4003_01067	100.00
gnl|YPES214092|GKDD-1388-MONOMER	Yp4003_03104	100.00
gnl|YPES214092|GKDD-1389-MONOMER	Yp4003_03103	100.00
gnl|YPES214092|GKDD-1394-MONOMER	Yp4003_03098	100.00
gnl|YPES214092|GKDD-1395-MONOMER	Yp4003_03097	100.00
gnl|YPES214092|GKDD-1396-MONOMER	Yp4003_04389	100.00
gnl|YPES214092|GKDD-1398-MONOMER	Yp4003_04334	99.56
gnl|YPES214092|GKDD-1399-MONOMER	Yp4003_04333	100.00
gnl|YPES214092|GKDD-1406-MONOMER	Yp4003_03275	100.00
gnl|YPES214092|GKDD-1407-MONOMER	Yp4003_03276	100.00
gnl|YPES214092|GKDD-141-MONOMER	Yp4003_01063	100.00
gnl|YPES214092|GKDD-1413-MONOMER	Yp4003_03283	100.00
gnl|YPES214092|GKDD-1431-MONOMER	Yp4003_03023	100.00
gnl|YPES214092|GKDD-1432-MONOMER	Yp4003_03024	100.00
gnl|YPES214092|GKDD-1438-MONOMER	Yp4003_03030	100.00
gnl|YPES214092|GKDD-144-MONOMER	Yp4003_01060	100.00
gnl|YPES214092|GKDD-1440-MONOMER	Yp4003_03032	100.00
gnl|YPES214092|GKDD-1443-MONOMER	Yp4003_03035	100.00
gnl|YPES214092|GKDD-1444-MONOMER	Yp4003_03036	100.00
gnl|YPES214092|GKDD-1451-MONOMER	Yp4003_01751	100.00
gnl|YPES214092|GKDD-1455-MONOMER	Yp4003_01755	100.00
gnl|YPES214092|GKDD-1458-MONOMER	Yp4003_01758	100.00
gnl|YPES214092|GKDD-146-MONOMER	Yp4003_01058	100.00
gnl|YPES214092|GKDD-1462-MONOMER	Yp4003_01762	100.00
gnl|YPES214092|GKDD-1464-MONOMER	Yp4003_01764	100.00
gnl|YPES214092|GKDD-1471-MONOMER	Yp4003_01771	100.00
gnl|YPES214092|GKDD-1490-MONOMER	Yp4003_03148	99.59
gnl|YPES214092|GKDD-1495-MONOMER	Yp4003_03143	100.00
gnl|YPES214092|GKDD-1497-MONOMER	Yp4003_03141	100.00
gnl|YPES214092|GKDD-150-MONOMER	Yp4003_01054	100.00
gnl|YPES214092|GKDD-1504-MONOMER	Yp4003_03134	100.00
gnl|YPES214092|GKDD-1510-MONOMER	Yp4003_02078	100.00
gnl|YPES214092|GKDD-1511-MONOMER	Yp4003_04358	100.00
gnl|YPES214092|GKDD-1515-MONOMER	Yp4003_04355	100.00
gnl|YPES214092|GKDD-1516-MONOMER	Yp4003_02078	100.00
gnl|YPES214092|GKDD-1517-MONOMER	Yp4003_04316	100.00
gnl|YPES214092|GKDD-1522-MONOMER	Yp4003_04246	100.00
gnl|YPES214092|GKDD-1525-MONOMER	Yp4003_04243	100.00
gnl|YPES214092|GKDD-1529-MONOMER	Yp4003_04154	100.00
gnl|YPES214092|GKDD-1530-MONOMER	Yp4003_04269	100.00
gnl|YPES214092|GKDD-1533-MONOMER	Yp4003_04266	100.00
gnl|YPES214092|GKDD-1534-MONOMER	Yp4003_04265	100.00
gnl|YPES214092|GKDD-1535-MONOMER	Yp4003_04264	100.00
gnl|YPES214092|GKDD-1538-MONOMER	Yp4003_04173	100.00
gnl|YPES214092|GKDD-154-MONOMER	Yp4003_01050	100.00
gnl|YPES214092|GKDD-1541-MONOMER	Yp4003_04170	100.00
gnl|YPES214092|GKDD-1542-MONOMER	Yp4003_04169	100.00
gnl|YPES214092|GKDD-1554-MONOMER	Yp4003_02665	100.00
gnl|YPES214092|GKDD-1555-MONOMER	Yp4003_02664	100.00
gnl|YPES214092|GKDD-1556-MONOMER	Yp4003_02663	100.00
gnl|YPES214092|GKDD-156-MONOMER	Yp4003_01048	100.00
gnl|YPES214092|GKDD-1562-MONOMER	Yp4003_02657	100.00
gnl|YPES214092|GKDD-1569-MONOMER	Yp4003_02650	100.00
gnl|YPES214092|GKDD-1573-MONOMER	Yp4003_02645	100.00
gnl|YPES214092|GKDD-1575-MONOMER	Yp4003_02643	100.00
gnl|YPES214092|GKDD-1580-MONOMER	Yp4003_03460	100.00
gnl|YPES214092|GKDD-1586-MONOMER	Yp4003_03467	100.00
gnl|YPES214092|GKDD-1587-MONOMER	Yp4003_03468	100.00
gnl|YPES214092|GKDD-1592-MONOMER	Yp4003_03473	100.00
gnl|YPES214092|GKDD-1596-MONOMER	Yp4003_03439	100.00
gnl|YPES214092|GKDD-1599-MONOMER	Yp4003_03444	100.00
gnl|YPES214092|GKDD-1605-MONOMER	Yp4003_03449	100.00
gnl|YPES214092|GKDD-1609-MONOMER	Yp4003_03455	100.00
gnl|YPES214092|GKDD-1611-MONOMER	Yp4003_03457	100.00
gnl|YPES214092|GKDD-1613-MONOMER	Yp4003_03989	61.22
gnl|YPES214092|GKDD-1615-MONOMER	Yp4003_02235	100.00
gnl|YPES214092|GKDD-1628-MONOMER	Yp4003_02220	100.00
gnl|YPES214092|GKDD-1629-MONOMER	Yp4003_02219	100.00
gnl|YPES214092|GKDD-1640-MONOMER	Yp4003_02208	100.00
gnl|YPES214092|GKDD-1644-MONOMER	Yp4003_02204	100.00
gnl|YPES214092|GKDD-165-MONOMER	Yp4003_01039	100.00
gnl|YPES214092|GKDD-166-MONOMER	Yp4003_03041	100.00
gnl|YPES214092|GKDD-1660-MONOMER	Yp4003_01027	100.00
gnl|YPES214092|GKDD-167-MONOMER	Yp4003_03989	61.22
gnl|YPES214092|GKDD-1671-MONOMER	Yp4003_03989	61.22
gnl|YPES214092|GKDD-1672-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-1673-MONOMER	Yp4003_01017	99.85
gnl|YPES214092|GKDD-1674-MONOMER	Yp4003_01016	100.00
gnl|YPES214092|GKDD-168-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-1686-MONOMER	Yp4003_01003	100.00
gnl|YPES214092|GKDD-1687-MONOMER	Yp4003_01002	100.00
gnl|YPES214092|GKDD-1693-MONOMER	Yp4003_00996	100.00
gnl|YPES214092|GKDD-1696-MONOMER	Yp4003_00993	100.00
gnl|YPES214092|GKDD-1698-MONOMER	Yp4003_00991	100.00
gnl|YPES214092|GKDD-1710-MONOMER	Yp4003_00978	100.00
gnl|YPES214092|GKDD-1720-MONOMER	Yp4003_03728	100.00
gnl|YPES214092|GKDD-1722-MONOMER	Yp4003_03726	100.00
gnl|YPES214092|GKDD-1724-MONOMER	Yp4003_03724	100.00
gnl|YPES214092|GKDD-1725-MONOMER	Yp4003_03723	100.00
gnl|YPES214092|GKDD-1727-MONOMER	Yp4003_03721	100.00
gnl|YPES214092|GKDD-1730-MONOMER	Yp4003_00558	100.00
gnl|YPES214092|GKDD-1732-MONOMER	Yp4003_00556	100.00
gnl|YPES214092|GKDD-1739-MONOMER	Yp4003_00549	100.00
gnl|YPES214092|GKDD-1740-MONOMER	Yp4003_00548	100.00
gnl|YPES214092|GKDD-1754-MONOMER	Yp4003_00534	100.00
gnl|YPES214092|GKDD-1762-MONOMER	Yp4003_00524	100.00
gnl|YPES214092|GKDD-1765-MONOMER	Yp4003_00521	100.00
gnl|YPES214092|GKDD-1767-MONOMER	Yp4003_00519	100.00
gnl|YPES214092|GKDD-1769-MONOMER	Yp4003_00516	100.00
gnl|YPES214092|GKDD-1779-MONOMER	Yp4003_00506	100.00
gnl|YPES214092|GKDD-1780-MONOMER	Yp4003_00505	100.00
gnl|YPES214092|GKDD-1787-MONOMER	Yp4003_00498	100.00
gnl|YPES214092|GKDD-1799-MONOMER	Yp4003_04064	100.00
gnl|YPES214092|GKDD-18-MONOMER	Yp4003_04256	100.00
gnl|YPES214092|GKDD-180-MONOMER	Yp4003_03054	100.00
gnl|YPES214092|GKDD-1806-MONOMER	Yp4003_04075	100.00
gnl|YPES214092|GKDD-1807-MONOMER	Yp4003_03989	61.22
gnl|YPES214092|GKDD-1808-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-1809-MONOMER	Yp4003_02279	100.00
gnl|YPES214092|GKDD-181-MONOMER	Yp4003_03055	100.00
gnl|YPES214092|GKDD-182-MONOMER	Yp4003_03056	100.00
gnl|YPES214092|GKDD-1821-MONOMER	Yp4003_02293	100.00
gnl|YPES214092|GKDD-1822-MONOMER	Yp4003_02294	100.00
gnl|YPES214092|GKDD-1823-MONOMER	Yp4003_02295	100.00
gnl|YPES214092|GKDD-1830-MONOMER	Yp4003_01091	100.00
gnl|YPES214092|GKDD-1836-MONOMER	Yp4003_01098	100.00
gnl|YPES214092|GKDD-1838-MONOMER	Yp4003_01100	100.00
gnl|YPES214092|GKDD-1839-MONOMER	Yp4003_01101	100.00
gnl|YPES214092|GKDD-1841-MONOMER	Yp4003_01103	100.00
gnl|YPES214092|GKDD-1843-MONOMER	Yp4003_01105	100.00
gnl|YPES214092|GKDD-1844-MONOMER	Yp4003_01106	100.00
gnl|YPES214092|GKDD-1852-MONOMER	Yp4003_01114	100.00
gnl|YPES214092|GKDD-1855-MONOMER	Yp4003_01117	100.00
gnl|YPES214092|GKDD-1873-MONOMER	Yp4003_03607	100.00
gnl|YPES214092|GKDD-1874-MONOMER	Yp4003_03606	100.00
gnl|YPES214092|GKDD-1886-MONOMER	Yp4003_03592	100.00
gnl|YPES214092|GKDD-1887-MONOMER	Yp4003_03591	100.00
gnl|YPES214092|GKDD-1888-MONOMER	Yp4003_02078	100.00
gnl|YPES214092|GKDD-1889-MONOMER	Yp4003_02732	100.00
gnl|YPES214092|GKDD-1894-MONOMER	Yp4003_02739	100.00
gnl|YPES214092|GKDD-1898-MONOMER	Yp4003_02743	100.00
gnl|YPES214092|GKDD-1902-MONOMER	Yp4003_02747	100.00
gnl|YPES214092|GKDD-1905-MONOMER	Yp4003_02750	99.64
gnl|YPES214092|GKDD-1908-MONOMER	Yp4003_02753	100.00
gnl|YPES214092|GKDD-1911-MONOMER	Yp4003_02757	100.00
gnl|YPES214092|GKDD-1920-MONOMER	Yp4003_02766	100.00
gnl|YPES214092|GKDD-1921-MONOMER	Yp4003_02767	100.00
gnl|YPES214092|GKDD-1923-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-1927-MONOMER	Yp4003_04236	99.72
gnl|YPES214092|GKDD-1929-MONOMER	Yp4003_04238	100.00
gnl|YPES214092|GKDD-1950-MONOMER	Yp4003_02860	100.00
gnl|YPES214092|GKDD-1951-MONOMER	Yp4003_02859	100.00
gnl|YPES214092|GKDD-1952-MONOMER	Yp4003_02858	100.00
gnl|YPES214092|GKDD-1953-MONOMER	Yp4003_02857	100.00
gnl|YPES214092|GKDD-1962-MONOMER	Yp4003_02848	100.00
gnl|YPES214092|GKDD-1963-MONOMER	Yp4003_02847	100.00
gnl|YPES214092|GKDD-1970-MONOMER	Yp4003_02839	100.00
gnl|YPES214092|GKDD-1971-MONOMER	Yp4003_02838	100.00
gnl|YPES214092|GKDD-1977-MONOMER	Yp4003_02832	100.00
gnl|YPES214092|GKDD-1978-MONOMER	Yp4003_02831	100.00
gnl|YPES214092|GKDD-1985-MONOMER	Yp4003_04132	100.00
gnl|YPES214092|GKDD-1989-MONOMER	Yp4003_04137	100.00
gnl|YPES214092|GKDD-1990-MONOMER	Yp4003_04138	100.00
gnl|YPES214092|GKDD-1996-MONOMER	Yp4003_02078	100.00
gnl|YPES214092|GKDD-1997-MONOMER	Yp4003_03879	100.00
gnl|YPES214092|GKDD-2-MONOMER	Yp4003_01410	100.00
gnl|YPES214092|GKDD-2001-MONOMER	Yp4003_03885	100.00
gnl|YPES214092|GKDD-2005-MONOMER	Yp4003_03889	100.00
gnl|YPES214092|GKDD-2009-MONOMER	Yp4003_03892	100.00
gnl|YPES214092|GKDD-2015-MONOMER	Yp4003_03957	100.00
gnl|YPES214092|GKDD-2018-MONOMER	Yp4003_03960	100.00
gnl|YPES214092|GKDD-2024-MONOMER	Yp4003_02078	100.00
gnl|YPES214092|GKDD-2025-MONOMER	Yp4003_02528	100.00
gnl|YPES214092|GKDD-2035-MONOMER	Yp4003_02538	100.00
gnl|YPES214092|GKDD-2036-MONOMER	Yp4003_02539	100.00
gnl|YPES214092|GKDD-2037-MONOMER	Yp4003_02540	100.00
gnl|YPES214092|GKDD-2038-MONOMER	Yp4003_02541	100.00
gnl|YPES214092|GKDD-206-MONOMER	Yp4003_03364	100.00
gnl|YPES214092|GKDD-207-MONOMER	Yp4003_03363	100.00
gnl|YPES214092|GKDD-2073-MONOMER	Yp4003_03673	100.00
gnl|YPES214092|GKDD-2074-MONOMER	Yp4003_03674	100.00
gnl|YPES214092|GKDD-2075-MONOMER	Yp4003_00920	98.25
gnl|YPES214092|GKDD-2076-MONOMER	Yp4003_03675	100.00
gnl|YPES214092|GKDD-2077-MONOMER	Yp4003_03676	100.00
gnl|YPES214092|GKDD-2078-MONOMER	Yp4003_03678	100.00
gnl|YPES214092|GKDD-2079-MONOMER	Yp4003_03680	100.00
gnl|YPES214092|GKDD-208-MONOMER	Yp4003_03362	100.00
gnl|YPES214092|GKDD-2080-MONOMER	Yp4003_02078	100.00
gnl|YPES214092|GKDD-2081-MONOMER	Yp4003_00356	100.00
gnl|YPES214092|GKDD-2082-MONOMER	Yp4003_00357	100.00
gnl|YPES214092|GKDD-2083-MONOMER	Yp4003_00360	100.00
gnl|YPES214092|GKDD-2085-MONOMER	Yp4003_00361	100.00
gnl|YPES214092|GKDD-2086-MONOMER	Yp4003_00362	100.00
gnl|YPES214092|GKDD-2087-MONOMER	Yp4003_00363	100.00
gnl|YPES214092|GKDD-209-MONOMER	Yp4003_03361	100.00
gnl|YPES214092|GKDD-210-MONOMER	Yp4003_03360	100.00
gnl|YPES214092|GKDD-2105-MONOMER	Yp4003_00379	100.00
gnl|YPES214092|GKDD-211-MONOMER	Yp4003_03359	100.00
gnl|YPES214092|GKDD-2112-MONOMER	Yp4003_00386	100.00
gnl|YPES214092|GKDD-2113-MONOMER	Yp4003_00387	100.00
gnl|YPES214092|GKDD-2118-MONOMER	Yp4003_00392	100.00
gnl|YPES214092|GKDD-2119-MONOMER	Yp4003_00393	100.00
gnl|YPES214092|GKDD-212-MONOMER	Yp4003_03358	100.00
gnl|YPES214092|GKDD-2126-MONOMER	Yp4003_00400	100.00
gnl|YPES214092|GKDD-2130-MONOMER	Yp4003_00404	100.00
gnl|YPES214092|GKDD-2131-MONOMER	Yp4003_00405	100.00
gnl|YPES214092|GKDD-2137-MONOMER	Yp4003_00415	100.00
gnl|YPES214092|GKDD-2147-MONOMER	Yp4003_03945	100.00
gnl|YPES214092|GKDD-2148-MONOMER	Yp4003_03943	100.00
gnl|YPES214092|GKDD-2149-MONOMER	Yp4003_03942	100.00
gnl|YPES214092|GKDD-2150-MONOMER	Yp4003_03941	100.00
gnl|YPES214092|GKDD-2151-MONOMER	Yp4003_03940	100.00
gnl|YPES214092|GKDD-2152-MONOMER	Yp4003_01534	100.00
gnl|YPES214092|GKDD-2152-MONOMER	Yp4003_01545	100.00
gnl|YPES214092|GKDD-2153-MONOMER	Yp4003_01533	100.00
gnl|YPES214092|GKDD-2153-MONOMER	Yp4003_01544	100.00
gnl|YPES214092|GKDD-2175-MONOMER	Yp4003_01507	100.00
gnl|YPES214092|GKDD-2176-MONOMER	Yp4003_01506	100.00
gnl|YPES214092|GKDD-2177-MONOMER	Yp4003_01505	100.00
gnl|YPES214092|GKDD-2178-MONOMER	Yp4003_01504	100.00
gnl|YPES214092|GKDD-2179-MONOMER	Yp4003_01503	100.00
gnl|YPES214092|GKDD-2181-MONOMER	Yp4003_01502	100.00
gnl|YPES214092|GKDD-2182-MONOMER	Yp4003_01501	100.00
gnl|YPES214092|GKDD-2207-MONOMER	Yp4003_02476	100.00
gnl|YPES214092|GKDD-2208-MONOMER	Yp4003_02475	100.00
gnl|YPES214092|GKDD-2209-MONOMER	Yp4003_02474	100.00
gnl|YPES214092|GKDD-2210-MONOMER	Yp4003_02473	100.00
gnl|YPES214092|GKDD-2211-MONOMER	Yp4003_02472	100.00
gnl|YPES214092|GKDD-2212-MONOMER	Yp4003_02470	100.00
gnl|YPES214092|GKDD-2213-MONOMER	Yp4003_02469	100.00
gnl|YPES214092|GKDD-2214-MONOMER	Yp4003_02468	100.00
gnl|YPES214092|GKDD-2237-MONOMER	Yp4003_03987	100.00
gnl|YPES214092|GKDD-2238-MONOMER	Yp4003_03988	100.00
gnl|YPES214092|GKDD-2239-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-2240-MONOMER	Yp4003_03989	61.22
gnl|YPES214092|GKDD-2241-MONOMER	Yp4003_02984	100.00
gnl|YPES214092|GKDD-2242-MONOMER	Yp4003_02985	100.00
gnl|YPES214092|GKDD-2243-MONOMER	Yp4003_02986	100.00
gnl|YPES214092|GKDD-2244-MONOMER	Yp4003_02987	100.00
gnl|YPES214092|GKDD-2270-MONOMER	Yp4003_03014	100.00
gnl|YPES214092|GKDD-2271-MONOMER	Yp4003_04154	100.00
gnl|YPES214092|GKDD-2272-MONOMER	Yp4003_03989	61.22
gnl|YPES214092|GKDD-2273-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-2279-MONOMER	Yp4003_01591	100.00
gnl|YPES214092|GKDD-2282-MONOMER	Yp4003_01594	100.00
gnl|YPES214092|GKDD-2306-MONOMER	Yp4003_01620	100.00
gnl|YPES214092|GKDD-2307-MONOMER	Yp4003_01621	100.00
gnl|YPES214092|GKDD-2308-MONOMER	Yp4003_01622	100.00
gnl|YPES214092|GKDD-2309-MONOMER	Yp4003_01623	100.00
gnl|YPES214092|GKDD-2321-MONOMER	Yp4003_01995	100.00
gnl|YPES214092|GKDD-2322-MONOMER	Yp4003_01994	100.00
gnl|YPES214092|GKDD-2324-MONOMER	Yp4003_01992	100.00
gnl|YPES214092|GKDD-2325-MONOMER	Yp4003_01991	100.00
gnl|YPES214092|GKDD-2327-MONOMER	Yp4003_01989	100.00
gnl|YPES214092|GKDD-2331-MONOMER	Yp4003_01984	100.00
gnl|YPES214092|GKDD-2343-MONOMER	Yp4003_01973	100.00
gnl|YPES214092|GKDD-2345-MONOMER	Yp4003_01971	100.00
gnl|YPES214092|GKDD-2346-MONOMER	Yp4003_01970	100.00
gnl|YPES214092|GKDD-2348-MONOMER	Yp4003_01968	100.00
gnl|YPES214092|GKDD-2349-MONOMER	Yp4003_01967	100.00
gnl|YPES214092|GKDD-235-MONOMER	Yp4003_03335	100.00
gnl|YPES214092|GKDD-2350-MONOMER	Yp4003_01966	100.00
gnl|YPES214092|GKDD-2351-MONOMER	Yp4003_01965	100.00
gnl|YPES214092|GKDD-236-MONOMER	Yp4003_03334	100.00
gnl|YPES214092|GKDD-2365-MONOMER	Yp4003_02816	100.00
gnl|YPES214092|GKDD-2367-MONOMER	Yp4003_02814	100.00
gnl|YPES214092|GKDD-237-MONOMER	Yp4003_03333	100.00
gnl|YPES214092|GKDD-2375-MONOMER	Yp4003_02806	100.00
gnl|YPES214092|GKDD-238-MONOMER	Yp4003_03332	100.00
gnl|YPES214092|GKDD-2382-MONOMER	Yp4003_02799	100.00
gnl|YPES214092|GKDD-239-MONOMER	Yp4003_03331	100.00
gnl|YPES214092|GKDD-2390-MONOMER	Yp4003_01268	100.00
gnl|YPES214092|GKDD-2397-MONOMER	Yp4003_01275	100.00
gnl|YPES214092|GKDD-240-MONOMER	Yp4003_03330	100.00
gnl|YPES214092|GKDD-2405-MONOMER	Yp4003_01283	100.00
gnl|YPES214092|GKDD-2408-MONOMER	Yp4003_01286	100.00
gnl|YPES214092|GKDD-241-MONOMER	Yp4003_02731	100.00
gnl|YPES214092|GKDD-2414-MONOMER	Yp4003_01292	100.00
gnl|YPES214092|GKDD-2415-MONOMER	Yp4003_01293	100.00
