Protein	Class
fid|108115539|locus|VBIYerPes7843_1613|___pH_6_antigen_adhesin___[Yersinia_pestis_CO92]	1
fid|108117030|locus|VBIYerPes7843_2339|___Succinylornithine_transaminase_(EC_2.6.1.81)___[Yersinia_pestis_CO92]	1
fid|108113599|locus|VBIYerPes7843_0674|___Osmotically_inducible_protein_OsmY___[Yersinia_pestis_CO92]	1
fid|108120033|locus|VBIYerPes7843_3790|___Catalase_(EC_1.11.1.6)_/_Peroxidase_(EC_1.11.1.7)___[Yersinia_pestis_CO92]	1
fid|108116306|locus|VBIYerPes7843_1990|___NADPH:quinone_oxidoreductase_2___[Yersinia_pestis_CO92]	1
fid|108112724|locus|VBIYerPes7843_0245|___Glutamine_synthetase_type_I_(EC_6.3.1.2)___[Yersinia_pestis_CO92]	1
fid|108113037|locus|VBIYerPes7843_0398|___Peptidyl-prolyl_cis-trans_isomerase_PpiA_precursor_(EC_5.2.1.8)___[Yersinia_pestis_CO92]	1
fid|108116314|locus|VBIYerPes7843_1994|___FIG01220834:_hypothetical_protein___[Yersinia_pestis_CO92]	1
fid|108112901|locus|VBIYerPes7843_0332|___ATP-dependent_protease_HslV_(EC_3.4.25.-)___[Yersinia_pestis_CO92]	1
fid|108120913|locus|VBIYerPes7843_4220|___Maltose_operon_periplasmic_protein_MalM___[Yersinia_pestis_CO92]	1
fid|108115356|locus|VBIYerPes7843_1525|___Outer_membrane_protein_C_precursor___[Yersinia_pestis_CO92]	1
fid|108114692|locus|VBIYerPes7843_1208|___S-adenosylmethionine_synthetase_(EC_2.5.1.6)___[Yersinia_pestis_CO92]	1
fid|108113128|locus|VBIYerPes7843_0443|___SSU_ribosomal_protein_S19p_(S15e)___[Yersinia_pestis_CO92]	1
fid|108118383|locus|VBIYerPes7843_3002|___Methylmalonate-semialdehyde_dehydrogenase_[inositol]_(EC_1.2.1.27)___[Yersinia_pestis_CO92]	1
fid|108120570|locus|VBIYerPes7843_4052|___Putative_exported_protein_precursor___[Yersinia_pestis_CO92]	1
"fid|108116754|locus|VBIYerPes7843_2209|___Cystine_ABC_transporter,_periplasmic_cystine-binding_protein_FliY___[Yersinia_pestis_CO92]"	1
fid|108120880|locus|VBIYerPes7843_4204|___Regulator_of_nucleoside_diphosphate_kinase___[Yersinia_pestis_CO92]	1
fid|108117853|locus|VBIYerPes7843_2741|___Putative_exported_protein_precursor___[Yersinia_pestis_CO92]	1
fid|108113305|locus|VBIYerPes7843_0531|___Tellurite_resistance_protein_TerB___[Yersinia_pestis_CO92]	1
fid|108120321|locus|VBIYerPes7843_3931|___DNA_polymerase_III_chi_subunit_(EC_2.7.7.7)___[Yersinia_pestis_CO92]	1
fid|108118895|locus|VBIYerPes7843_3247|___Periplasmic_beta-glucosidase_(EC_3.2.1.21)___[Yersinia_pestis_CO92]	1
fid|108117492|locus|VBIYerPes7843_2566|___DNA-binding_protein_H-NS___[Yersinia_pestis_CO92]	1
"fid|108120487|locus|VBIYerPes7843_4011|___Arginine_pathway_regulatory_protein_ArgR,_repressor_of_arg_regulon___[Yersinia_pestis_CO92]"	2
fid|108121463|locus|VBIYerPes7843_4467|___Glycogen_debranching_enzyme_(EC_3.2.1.-)___[Yersinia_pestis_CO92]	2
fid|108117034|locus|VBIYerPes7843_2341|___Succinylglutamic_semialdehyde_dehydrogenase_(EC_1.2.1.71)___[Yersinia_pestis_CO92]	2
fid|108114659|locus|VBIYerPes7843_1192|___Protein_of_unknown_function_DUF541___[Yersinia_pestis_CO92]	2
fid|108115561|locus|VBIYerPes7843_1624|___TonB-dependent_receptor;_Outer_membrane_receptor_for_ferrienterochelin_and_colicins___[Yersinia_pestis_CO92]	2
fid|108116090|locus|VBIYerPes7843_1885|___Histidinol_dehydrogenase_(EC_1.1.1.23)___[Yersinia_pestis_CO92]	2
"fid|108112677|locus|VBIYerPes7843_0225|___Ribose_ABC_transport_system,_high_affinity_permease_RbsD_(TC_3.A.1.2.1)___[Yersinia_pestis_CO92]"	2
"fid|108112264|locus|VBIYerPes7843_0023|___Type_III_secretion_negative_modulator_of_injection_(YopK,YopQ,controls_size_of_translocator_pore)___[Yersinia_pestis_CO92]"	-2
fid|108112316|locus|VBIYerPes7843_0048|___putative_type_III_secretion_protein_SycN___[Yersinia_pestis_CO92]	-2
fid|108112557|locus|VBIYerPes7843_0166|___DNA_replication_protein___[Yersinia_pestis_CO92]	-2
fid|108113753|locus|VBIYerPes7843_0750|___Uncharacterized_protein_ImpA___[Yersinia_pestis_CO92]	-2
fid|108113769|locus|VBIYerPes7843_0758|___VgrG_protein___[Yersinia_pestis_CO92]	-2
fid|108113784|locus|VBIYerPes7843_0765|___Uncharacterized_protein_ImpJ/VasE___[Yersinia_pestis_CO92]	-2
fid|108116391|locus|VBIYerPes7843_2031|___Putative_exported_protein_precursor___[Yersinia_pestis_CO92]	-2
fid|108117879|locus|VBIYerPes7843_2754|___Conserved_protein_YcjX_with_nucleoside_triphosphate_hydrolase_domain___[Yersinia_pestis_CO92]	-2
fid|108117968|locus|VBIYerPes7843_2798|___Riboflavin_synthase_eubacterial/eukaryotic_(EC_2.5.1.9)___[Yersinia_pestis_CO92]	-2
"fid|108118082|locus|VBIYerPes7843_2852|___Manganese_ABC_transporter,_inner_membrane_permease_protein_SitC___[Yersinia_pestis_CO92]"	-2
fid|108118988|locus|VBIYerPes7843_3291|___Probable_RND_efflux_membrane_fusion_protein___[Yersinia_pestis_CO92]	-2
fid|108120009|locus|VBIYerPes7843_3778|___C-terminal_domain_of_CinA_type_S;_Protein_Implicated_in_DNA_repair_function_with_RecA_and_MutS___[Yersinia_pestis_CO92]	-2
fid|108120350|locus|VBIYerPes7843_3945|___Dipeptide_transport_ATP-binding_protein_DppD_(TC_3.A.1.5.2)___[Yersinia_pestis_CO92]	-2
"fid|108120354|locus|VBIYerPes7843_3947|___Ribonucleotide_reductase_of_class_III_(anaerobic),_large_subunit_(EC_1.17.4.2)___[Yersinia_pestis_CO92]"	-2
fid|108121801|locus|VBIYerPes7843_4631|___Ornithine_cyclodeaminase_(EC_4.3.1.12)___[Yersinia_pestis_CO92]	-2
fid|108113441|locus|VBIYerPes7843_0598|___Potassium_efflux_system_KefA_protein_/_Small-conductance_mechanosensitive_channel___[Yersinia_pestis_CO92]	-1
fid|108118438|locus|VBIYerPes7843_3029|___Proposed_lipoate_regulatory_protein_YbeD___[Yersinia_pestis_CO92]	-1
fid|108113098|locus|VBIYerPes7843_0428|___YheO-like_PAS_domain___[Yersinia_pestis_CO92]	-1
fid|108113443|locus|VBIYerPes7843_0599|___Phosphatidylserine_decarboxylase_(EC_4.1.1.65)___[Yersinia_pestis_CO92]	-1
fid|108113767|locus|VBIYerPes7843_0757|___ClpB_protein___[Yersinia_pestis_CO92]	-1
"fid|108112304|locus|VBIYerPes7843_0042|___Type_III_secretion_cytoplasmic_LcrG_inhibitor_(LcrV,secretion_and_targeting_control_protein,_V_antigen)___[Yersinia_pestis_CO92]"	-1
fid|108115292|locus|VBIYerPes7843_1494|___Aromatic-L-amino-acid_decarboxylase_(EC_4.1.1.28)___[Yersinia_pestis_CO92]	-1
fid|108112669|locus|VBIYerPes7843_0221|___Aspartate--ammonia_ligase_(EC_6.3.1.1)___[Yersinia_pestis_CO92]	-1
fid|108119060|locus|VBIYerPes7843_3325|___1-hydroxy-2-methyl-2-(E)-butenyl_4-diphosphate_synthase_(EC_1.17.7.1)___[Yersinia_pestis_CO92]	-1
fid|108112234|locus|VBIYerPes7843_0008|___Type_III_secretion_injected_virulence_protein_(YopE)___[Yersinia_pestis_CO92]	-1
fid|108113751|locus|VBIYerPes7843_0749|___FIG01220865:_hypothetical_protein___[Yersinia_pestis_CO92]	-1
fid|108113757|locus|VBIYerPes7843_0752|___Uncharacterized_protein_ImpC___[Yersinia_pestis_CO92]	-1
fid|108113755|locus|VBIYerPes7843_0751|___Uncharacterized_protein_ImpB___[Yersinia_pestis_CO92]	-1
fid|108119121|locus|VBIYerPes7843_3355|___Attachment_invasion_locus_protein_precursor___[Yersinia_pestis_CO92]	-1
